model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",4988.0676,4.9881,104.43794584,5092.509,0.9933,0.0163,0.0004,0.0002,0.9933,0.0208,6.9837,6.6057,0.9933,15.7309,403.6681,0.0034,0.9933,20.0915,4.4891,4.3767
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",7690.4386,7.6904,100.6425364,7791.0866,0.994,0.0161,0.0004,0.0002,0.9938,0.0201,7.3827,6.9315,0.994,15.571,375.5999,0.0037,0.9938,19.3804,4.6986,4.5549
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3676.0774,3.6761,117.84125209,3793.9206,0.9936,0.0156,0.0004,0.0002,0.9936,0.0203,6.2903,6.0207,0.9936,15.0525,385.9197,0.0029,0.9936,19.6448,4.1081,4.0328
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5178.7945,5.1788,109.35556221,5288.1662,0.9926,0.0168,0.0005,0.0002,0.9922,0.0224,6.1651,5.958,0.9926,16.192,469.2662,0.0028,0.9922,21.6626,4.1026,4.056
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",7967.321,7.9673,111.85240793,8079.1862,0.993,0.0169,0.0005,0.0002,0.993,0.0213,7.4126,6.9776,0.993,16.3399,422.4489,0.0037,0.993,20.5536,4.741,4.6092
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1363.0988,1.3631,65.0599761,1428.1603,0.9937,0.0154,0.0004,0.0002,0.9937,0.0202,6.1451,5.8973,0.9937,14.8643,380.3482,0.0028,0.9937,19.5025,4.0239,3.9568
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1826.4153,1.8264,67.48152184,1893.8996,0.9925,0.0173,0.0005,0.0002,0.9925,0.0221,7.2108,6.8228,0.9925,16.6653,455.9896,0.0036,0.9925,21.3539,4.6474,4.5363
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2497.8801,2.4979,62.49170923,2560.3777,0.994,0.0154,0.0004,0.0002,0.994,0.0198,6.601,6.2732,0.994,14.9048,364.2742,0.0031,0.994,19.086,4.256,4.1586
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1457.6136,1.4576,73.84170389,1531.4568,0.9932,0.017,0.0004,0.0002,0.9931,0.0212,7.6786,7.1921,0.9932,16.4311,419.4394,0.0039,0.9931,20.4802,4.8835,4.7324
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1908.367,1.9084,73.25950146,1981.6302,0.9937,0.0156,0.0004,0.0002,0.9937,0.0202,6.4739,6.1719,0.9937,15.0893,380.995,0.003,0.9937,19.5191,4.2016,4.1142
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2575.3791,2.5754,72.35686374,2647.7417,0.9936,0.0162,0.0004,0.0002,0.9936,0.0204,7.1392,6.7312,0.9936,15.5964,387.4211,0.0035,0.9936,19.683,4.5669,4.4413
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1550.9012,1.5509,79.47745109,1630.3805,0.9935,0.016,0.0004,0.0002,0.9935,0.0205,6.742,6.402,0.9935,15.4117,391.894,0.0032,0.9935,19.7963,4.3496,4.2509
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2037.0211,2.037,81.67984009,2118.7042,0.9937,0.0153,0.0004,0.0002,0.9936,0.0203,5.933,5.7181,0.9937,14.7754,384.6984,0.0027,0.9936,19.6137,3.9148,3.8589
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2686.9283,2.6869,80.64291143,2767.5761,0.993,0.0166,0.0005,0.0002,0.9926,0.0219,6.2004,5.9875,0.993,15.9988,448.5611,0.0028,0.9926,21.1793,4.1062,4.0586
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1682.0864,1.6821,86.99243665,1769.0809,0.994,0.0148,0.0004,0.0002,0.9937,0.0202,5.3521,5.2318,0.994,14.3269,379.2938,0.0023,0.9937,19.4755,3.6091,3.5872
"RNN-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2149.0482,2.149,83.09123492,2232.1429,0.9926,0.0169,0.0005,0.0002,0.9926,0.0219,6.8171,6.491,0.9926,16.3176,449.231,0.0033,0.9926,21.1951,4.4322,4.3422
