model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2101.585,0.4203,20.900227,2122.4887,0.9876,0.0085,0.0004,0.0002,0.9869,0.0208,4.8117,4.92,0.9876,9.1337,497.633,0.0037,0.9869,22.3077,4.4941,4.5857
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2106.1505,0.4212,21.569217,2127.7255,0.9897,0.0079,0.0003,0.0001,0.9896,0.0185,4.6911,4.631,0.9897,8.4536,392.3777,0.0033,0.9896,19.8085,4.3824,4.3308
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2533.6343,0.5067,25.988629,2559.6273,0.9823,0.0094,0.0006,0.0002,0.9817,0.0245,4.8301,4.8056,0.9823,10.0932,690.991,0.0037,0.9817,26.2867,4.518,4.5044
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2609.2846,0.5219,24.743176,2634.0297,0.9883,0.0082,0.0004,0.0002,0.988,0.0198,4.5705,4.5495,0.9883,8.7528,454.016,0.0032,0.988,21.3077,4.2712,4.2564
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2485.2576,0.4971,23.839574,2509.1032,0.9892,0.008,0.0004,0.0001,0.9892,0.0188,4.9086,4.8141,0.9892,8.6394,408.8268,0.0035,0.9892,20.2195,4.5766,4.4985
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2683.3091,0.5367,25.964901,2709.2757,0.9839,0.0091,0.0005,0.0002,0.9833,0.0234,4.7048,4.7002,0.9839,9.8024,632.3913,0.0035,0.9833,25.1474,4.4036,4.4054
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2571.6705,0.5143,25.778837,2597.4521,0.9876,0.0082,0.0004,0.0002,0.9873,0.0204,4.5568,4.5456,0.9876,8.839,479.9268,0.0033,0.9873,21.9072,4.2604,4.2534
"MLNN-1H-sliding_10-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2583.0714,0.5166,26.38662,2609.461,0.9912,0.0074,0.0003,0.0001,0.9911,0.0171,4.6072,4.6102,0.9912,7.9581,335.2723,0.0033,0.9911,18.3104,4.2995,4.2984
"MLNN-1H-sliding_2-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",2791.7285,0.5583,28.526516,2820.2567,0.9858,0.0085,0.0005,0.0002,0.9855,0.0218,4.6622,4.6422,0.9858,9.1571,547.335,0.0034,0.9855,23.3952,4.3583,4.3442
"MLNN-1H-sliding_5-net_para_{'hidden_sizes': [5], 'epoch': 5000, 'batch_size': 128, 'learning_rate': 0.0001, 'activations': ('elu', 'elu'), 'optimizer': 'adam', 'loss': 'mse'}",3259.5462,0.6519,34.239625,3293.7958,0.9862,0.0087,0.0005,0.0002,0.9859,0.0215,4.901,4.8378,0.9862,9.3317,532.8106,0.0036,0.9859,23.0827,4.5748,4.5268
