model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",120.946,1.2095,0.005916,120.9559,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9463,1.9445,0.9977,7.5242,105.81,0.0003,0.9977,10.2864,1.369,1.3687
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",121.9769,1.2198,0.002249,121.988,0.9978,0.0062,0.0001,0.0,0.9978,0.0084,1.9038,1.904,0.9978,7.3916,101.9504,0.0003,0.9978,10.0971,1.3393,1.3397
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",120.8411,1.2084,0.003586,120.8464,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0038,2.0062,0.9975,7.772,114.3774,0.0004,0.9975,10.6947,1.4134,1.4151
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.5055,1.2451,0.003605,124.5131,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9485,1.9489,0.9977,7.5461,106.5946,0.0003,0.9977,10.3245,1.3717,1.3723
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",128.8213,1.2882,0.002911,128.836,0.9978,0.0062,0.0001,0.0,0.9977,0.0084,1.908,1.9078,0.9978,7.3952,102.2997,0.0003,0.9977,10.1143,1.3414,1.3417
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.6591,1.2466,0.003549,124.6639,0.9975,0.0064,0.0001,0.0,0.9975,0.0089,1.9974,1.9989,0.9975,7.742,113.0316,0.0004,0.9975,10.6316,1.4081,1.4093
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",125.3266,1.2533,0.002438,125.3318,0.9976,0.0063,0.0001,0.0,0.9976,0.0086,1.9584,1.958,0.9976,7.5794,107.4258,0.0003,0.9976,10.3646,1.3784,1.3788
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",127.2023,1.272,0.003229,127.2123,0.9978,0.0062,0.0001,0.0,0.9978,0.0084,1.9059,1.9073,0.9978,7.4018,102.1388,0.0003,0.9978,10.1064,1.3412,1.3419
"GA_ELM-sliding_2-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",124.0316,1.2403,0.003633,124.0385,0.9975,0.0065,0.0001,0.0,0.9975,0.0089,2.0104,2.0123,0.9975,7.7841,114.5179,0.0004,0.9975,10.7013,1.4174,1.4189
"GA_ELM-sliding_5-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",126.3755,1.2638,0.002986,126.3853,0.9977,0.0063,0.0001,0.0,0.9977,0.0086,1.9489,1.9489,0.9977,7.5502,106.5978,0.0003,0.9977,10.3246,1.3718,1.3722
"GA_ELM-sliding_10-nets_[100, 0, 12, (0.6, 0.4)]-ga_{'epoch': 100, 'pop_size': 50, 'pc': 0.95, 'pm': 0.025}",129.4492,1.2945,0.003511,129.4632,0.9978,0.0061,0.0001,0.0,0.9978,0.0084,1.8935,1.8942,0.9978,7.3672,101.6787,0.0003,0.9978,10.0836,1.3332,1.3337
