model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"ELM-sliding_2-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0054,,0.00088978,0.0072,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0069,,0.00111723,0.009,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0119,,0.00160122,0.0148,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0053,,0.00086904,0.0071,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0067,,0.00115323,0.009,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0117,,0.00157356,0.0146,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0054,,0.00092649,0.0072,0.9958,0.0119,0.0003,0.0001,0.9957,0.0166,4.2089,4.2065,0.9958,11.4736,257.3148,0.0018,0.9957,16.041,2.9199,2.9232
"ELM-sliding_3-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0076,,0.00114679,0.0099,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (500, False), 'activation': 0}",0.012,,0.00153732,0.0149,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1543,4.1542,0.9959,11.2529,248.6224,0.0018,0.9959,15.7678,2.8756,2.8792
"ELM-sliding_2-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0052,,0.00088286,0.0072,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0075,,0.00119257,0.0097,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0127,,0.00158715,0.0158,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0055,,0.00091577,0.0074,0.9957,0.0125,0.0003,0.0001,0.9955,0.0171,4.5323,4.4488,0.9957,12.0491,271.7835,0.0019,0.9955,16.4859,3.1171,3.0852
"ELM-sliding_3-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0077,,0.00126505,0.01,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0129,,0.00153637,0.0159,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (10, False), 'activation': 0}",0.004,,0.00083113,0.0057,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0068,,0.0011642,0.0089,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0115,,0.00163531,0.0145,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0052,,0.00088573,0.007,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0072,,0.00134492,0.0095,0.9957,0.0123,0.0003,0.0001,0.9956,0.0169,4.4715,4.3972,0.9957,11.8738,265.4649,0.0019,0.9956,16.2931,3.0748,3.0475
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0118,,0.00159717,0.0146,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0052,,0.00085735,0.007,0.9958,0.0121,0.0003,0.0001,0.9956,0.0169,4.26,4.3115,0.9958,11.6702,266.5048,0.0019,0.9956,16.325,2.9615,2.9864
"ELM-sliding_3-net_para_{'hidden_size': (200, False), 'activation': 0}",0.007,,0.00115585,0.0091,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (200, False), 'activation': 0}",0.0165,,0.00190473,0.0198,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0056,,0.00089431,0.0075,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0071,,0.00124741,0.0094,0.9957,0.012,0.0003,0.0001,0.9957,0.0166,4.2595,4.2342,0.9957,11.5524,258.2114,0.0018,0.9957,16.069,2.9507,2.9428
"ELM-sliding_5-net_para_{'hidden_size': (500, False), 'activation': 0}",0.0117,,0.00165176,0.0146,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.2002,4.1732,0.9959,11.2961,248.4965,0.0018,0.9959,15.7638,2.9002,2.8922
"ELM-sliding_2-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0054,,0.00087786,0.0071,0.9957,0.0133,0.0003,0.0002,0.9948,0.0183,4.7506,4.8934,0.9957,12.866,311.6299,0.0022,0.9948,17.653,3.2875,3.35
"ELM-sliding_3-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0069,,0.00114441,0.009,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (1000, False), 'activation': 0}",0.0118,,0.00169086,0.0148,0.9959,0.0118,0.0003,0.0001,0.9958,0.0166,4.1742,4.2063,0.9959,11.4016,255.7483,0.0018,0.9958,15.9921,2.8962,2.9137
"ELM-sliding_2-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0054,,0.00087476,0.0072,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.007,,0.00117731,0.009,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (5000, False), 'activation': 0}",0.0116,,0.00150585,0.0144,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (10, False), 'activation': 0}",0.004,,0.00084853,0.0057,0.9958,0.0119,0.0003,0.0001,0.9957,0.0166,4.2637,4.2353,0.9958,11.5218,256.8236,0.0018,0.9957,16.0257,2.9496,2.9418
"ELM-sliding_3-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0064,,0.00135875,0.0088,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (10, False), 'activation': 0}",0.0118,,0.00150776,0.0146,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
"ELM-sliding_2-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0053,,0.00091791,0.0071,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2234,4.2113,0.9958,11.4784,256.5431,0.0018,0.9958,16.017,2.9274,2.9262
"ELM-sliding_3-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0067,,0.00141764,0.0092,0.9958,0.0119,0.0003,0.0001,0.9958,0.0166,4.2249,4.2124,0.9958,11.4777,256.5882,0.0018,0.9958,16.0184,2.9279,2.9266
"ELM-sliding_5-net_para_{'hidden_size': (50, False), 'activation': 0}",0.0116,,0.00150895,0.0145,0.9959,0.0117,0.0003,0.0001,0.9959,0.0163,4.1699,4.1561,0.9959,11.2527,247.8772,0.0018,0.9959,15.7441,2.8826,2.8805
