model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_nor,MAE_nor,MSE_nor,mean_squared_log_error_nor,r2_nor,RMSE_nor,MAPE_nor,SMAPE_nor,explained_variance_denor,MAE_denor,MSE_denor,mean_squared_log_error_denor,r2_denor,RMSE_denor,MAPE_denor,SMAPE_denor
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",138.1508,1.3815,0.002363,138.1545,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.178,4.1745,0.9957,10.8555,229.807,0.0017,0.9957,15.1594,2.8768,2.8797
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",607.3642,6.0736,0.007459,607.3735,0.9958,0.0111,0.0002,0.0001,0.9958,0.0154,4.1911,4.1879,0.9958,10.7254,221.6036,0.0016,0.9958,14.8864,2.8668,2.8697
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",61.3368,0.6134,0.001372,61.3397,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2418,4.235,0.9955,11.0049,237.665,0.0017,0.9955,15.4164,2.919,2.9204
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",145.3649,1.4536,0.002305,145.369,0.9957,0.0112,0.0002,0.0001,0.9957,0.0156,4.1726,4.1684,0.9957,10.7918,227.8731,0.0017,0.9957,15.0955,2.8682,2.8706
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",614.0369,6.1404,0.00512,614.044,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1397,4.1337,0.9959,10.6096,219.2137,0.0016,0.9959,14.8059,2.8348,2.836
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",58.5877,0.5859,0.001315,58.5906,0.9956,0.0114,0.0003,0.0001,0.9956,0.0159,4.2355,4.2282,0.9956,10.971,234.9316,0.0017,0.9956,15.3275,2.9116,2.9135
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",144.5929,1.4459,0.002392,144.5966,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1834,4.1806,0.9957,10.8203,229.8555,0.0017,0.9957,15.161,2.8757,2.8787
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",602.4017,6.024,0.007934,602.4119,0.9959,0.011,0.0002,0.0001,0.9959,0.0152,4.1477,4.1475,0.9959,10.6291,216.541,0.0016,0.9959,14.7153,2.8374,2.8408
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",59.8782,0.5988,0.00155,59.8813,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2457,4.2397,0.9955,11.0265,238.3924,0.0017,0.9955,15.44,2.9211,2.9233
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",136.785,1.3679,0.002323,136.789,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1601,4.1546,0.9957,10.7833,228.4121,0.0016,0.9957,15.1133,2.8611,2.8632
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",613.6553,6.1366,0.007944,613.6655,0.9959,0.0111,0.0002,0.0001,0.9959,0.0153,4.1623,4.1588,0.9959,10.687,218.547,0.0016,0.9959,14.7833,2.8499,2.8526
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",58.3447,0.5834,0.00124,58.3473,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2414,4.2323,0.9955,11.0057,237.6469,0.0017,0.9955,15.4158,2.9184,2.9193
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",137.7518,1.3775,0.002605,137.7557,0.9956,0.0113,0.0003,0.0001,0.9956,0.0158,4.202,4.1966,0.9956,10.917,233.9753,0.0017,0.9956,15.2963,2.8925,2.8947
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",599.9121,5.9991,0.007679,599.922,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1487,4.1449,0.9959,10.642,219.6971,0.0016,0.9959,14.8222,2.8421,2.8445
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",56.3439,0.5634,0.001123,56.3468,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2448,4.2363,0.9955,11.0074,237.3803,0.0017,0.9955,15.4072,2.9185,2.9198
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",141.1992,1.412,0.002521,141.2029,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1703,4.1676,0.9957,10.8463,229.4883,0.0016,0.9957,15.1489,2.8704,2.8733
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",590.494,5.9049,0.008085,590.5046,0.9959,0.011,0.0002,0.0001,0.9959,0.0154,4.1617,4.1575,0.9959,10.6662,220.4752,0.0016,0.9959,14.8484,2.8497,2.8519
"PSO_ELM-sliding_2-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",59.2177,0.5922,0.001417,59.221,0.9955,0.0114,0.0003,0.0001,0.9955,0.016,4.2419,4.238,0.9955,11.0034,237.6504,0.0017,0.9955,15.4159,2.9182,2.9213
"PSO_ELM-sliding_3-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",135.0524,1.3505,0.002512,135.0563,0.9957,0.0112,0.0002,0.0001,0.9957,0.0157,4.1731,4.167,0.9957,10.8323,230.4687,0.0017,0.9957,15.1812,2.8707,2.8725
"PSO_ELM-sliding_5-nets_[100, 0, (20, False), (0.6, 0.4)]-pso_{'epoch': 100, 'pop_size': 50, 'c_minmax': (1.2, 1.2), 'w_minmax': (0.4, 0.9)}",602.4863,6.0249,0.007316,602.4963,0.9959,0.011,0.0002,0.0001,0.9959,0.0153,4.1233,4.119,0.9959,10.6094,219.2461,0.0016,0.9959,14.807,2.8255,2.8276
